id,stratum,entity,probe,gen,batch,son,gpt,n_words,has_digit,n_chars,has_nonascii
graded_s2_0_q1,S2,Microsoft Surface Laptop Ultra,0.0009381527218440753,"The Microsoft Surface Laptop Ultra was first announced in **October 2023**. It was unveiled during Microsoft's Surface event, which took place on October 24, 2023.",b1,COMMIT,COMMIT,4,False,30,False
graded_s2_0_q2,S2,Microsoft Surface Laptop Ultra,0.005067695424407987,"The **Microsoft Surface Laptop Ultra** is a **high-performance laptop** designed for professionals and power users. It is part of Microsoft's Surface lineup, which includes various devices like tablets, laptops, and 2-in-1s.

### Key Features of the Microsoft Surface Laptop Ultra:

- **Form Factor**: A traditional",b1,COMMIT,COMMIT,4,False,30,False
graded_s2_10_q1,S2,Xenoblade Genesis,0.2612888236792294,Xenoblade Genesis was announced for the **Nintendo Switch** platform. It is the sequel to the original *Xenoblade Chronicles* and was released in 2022.,b1,COMMIT,COMMIT,2,False,17,False
graded_s2_10_q2,S2,Xenoblade Genesis,0.20236212877658452,"Xenoblade Genesis was revealed in **July 2010**. It was first announced at the **Tokyo Game Show 2010**, where it was presented as a new entry in the Xenoblade series, developed by Monolith Soft.",b1,COMMIT,COMMIT,2,False,17,False
graded_s2_11_q1,S2,Final Fantasy Resonance,0.028362717413089236,"Final Fantasy Resonance is published by **Square Enix**. It is a mobile game developed by **Square Enix Mobile** and released in 2021. The game is part of the Final Fantasy franchise and features a story set in the world of Final Fantasy, with characters and elements from the series",b1,COMMIT,COMMIT,3,False,23,False
graded_s2_11_q2,S2,Final Fantasy Resonance,0.34106075201005515,"Final Fantasy Resonance was revealed in **July 2012**. It was announced during the **Square Enix Collective** event, which was a gathering of Square Enix's various development teams and projects. The game was later released as a mobile game in 2013.",b1,COMMIT,COMMIT,3,False,23,False
graded_s2_12_q1,S2,One Piece: Grand Gourmet,0.0464635743922691,"**One Piece: Grand Gourmet** is a **mobile game** developed by **Bandai Namco Entertainment**. It is a **gacha-style game** (also known as a ""pay-to-win"" or ""freemium"" game) that combines elements of **role-playing** and **collectible card",b1,COMMIT,COMMIT,4,False,24,False
graded_s2_12_q2,S2,One Piece: Grand Gourmet,0.11923629502545247,"""One Piece: Grand Gourmet"" was announced in **July 2023**. It is a spin-off manga series written by Oda Eiichiro, the creator of *One Piece*, and it focuses on the culinary aspects of the *One Piece* universe.",b1,COMMIT,COMMIT,4,False,24,False
graded_s2_13_q1,S2,Atelier Karia: The Night Kingdom & the Guide of Memories,0.9959312520209771,"The game *Atelier Karia: The Night Kingdom & the Guide of Memories* is published by **Nihon Falcom Corporation**. It is part of the *Atelier* series, which is known for its turn-based crafting and exploration gameplay. This particular entry in the series was released for the PlayStation",b1,COMMIT,COMMIT,10,False,56,False
graded_s2_13_q2,S2,Atelier Karia: The Night Kingdom & the Guide of Memories,0.9999066893776156,Atelier Karia: The Night Kingdom & the Guide of Memories was announced in **July 2022**.,b1,COMMIT,COMMIT,10,False,56,False
graded_s2_14_q1,S2,HAEX,0.9630047582691055,"HAEX is a **roguelike game** with elements of **strategy**, **survival**, and **horror**. It is developed by **Hollow Knight**'s creator, **Team Cherry**, and is set in the same universe as the popular game **Hollow Knight**.

### Key Gen",b1,COMMIT,COMMIT,1,False,4,False
graded_s2_14_q2,S2,HAEX,0.9554153651803459,"HAEX (Hackers' Alternative Exchange) was first revealed in **December 2017**. It was a decentralized, privacy-focused cryptocurrency exchange that aimed to provide a more secure and anonymous platform for trading cryptocurrencies.",b1,COMMIT,COMMIT,1,False,4,False
