id,arm,label,entity,question,entity_is_real_(y/n),label_correct_(y/n),notes
plaus_131_ans,plausible,answerable,ASTM A992,What is the primary material used in the ASTM A992 standard?,y,y,
plaus_69_ans,plausible,answerable,WHO PQS,What is the required cold chain temperature range for shipping vaccines under WHO PQS?,y,y,
param_12_ans,parametric,answerable,Zara,What is the required safety stock threshold for Zara during peak demand surges?,y,y,
nump_35_ans,numeric_param,answerable,,How many digits does a standard Global Trade Item Number (GTIN-14) contain?,,y,
param_178_ans,parametric,answerable,Amazon,What is the primary intermodal freight hub utilized by Amazon to consolidate European shipments before final delivery?,y,y,
param_246_abs,parametric,should_abstain,OceanicTrans,What is the standard procedure for OceanicTrans when conducting a root cause analysis on recurring freight damage claims?,n,y,
plaus_148_ans,plausible,answerable,Proto Labs,What is the minimum order quantity for custom injection molding services from Proto Labs?,y,y,
plaus_188_abs,plausible,should_abstain,Riverton Manufacturing,Where is the main production facility for Riverton Manufacturing located?,n,y,
plaus_178_ans,plausible,answerable,Siemens industrial turbines,What is the standard packaging requirement for shipments of Siemens industrial turbines?,y,y,
param_302_abs,parametric,should_abstain,Compulink,What is the primary return authorization window for defective components supplied under the Compulink warranty program?,y,n,
param_127_abs,parametric,should_abstain,SCOR-Q9000,What is the standard RS-1 replenishment lead time mandated by SCOR-Q9000 for its vendor managed inventory program?,n,y,
nump_120_abs,numeric_param,should_abstain,Zephyr Logistics,How many pallets of the 'Aero-Pod X1' SKU can fit in a Zephyr Logistics custom transporter trailer?,,y,
param_147_abs,parametric,should_abstain,TagNet Consortium,Which radio frequency identification standard is mandated by TagNet Consortium for tracking reusable transport items in the European sector?,n,y,
plaus_22_abs,plausible,should_abstain,DIN 4271,What is the scope of DIN 4271 certification regarding quality management systems?,n,y,
plaus_158_ans,plausible,answerable,Lufthansa Cargo,What is the accepted variance for dimension and weight measurements in air cargo tendered to Lufthansa Cargo?,y,y,
plaus_16_abs,plausible,should_abstain,4140 steel drive shaft,What is the main material used in the 4140 steel drive shaft?,y,n,
param_190_abs,parametric,should_abstain,PrimeBox-Z,What is the exact package dimensions and weight limit for the PrimeBox-Z standardized shipping container?,n,y,
nump_143_ans,numeric_param,answerable,,What is the exact internal length in feet of a standard 20-foot ISO shipping container?,,y,
nump_16_abs,numeric_param,should_abstain,Cyberdyne Systems,How many square feet are in one standard 'Cyber-Acre' as defined by Cyberdyne Systems for measuring warehouse footprint?,,y,
plaus_196_abs,plausible,should_abstain,Ashford & Knight Maritime,Which ports are included in the primary Asian trade loop of Ashford & Knight Maritime?,n,y,
param_230_abs,parametric,should_abstain,NexusSC model,"In the NexusSC model, how are safety stock levels dynamically recalculated when supplier lead time variability exceeds the standard deviation threshold?",n,y,
nump_138_abs,numeric_param,should_abstain,Meridian Ocean Lines,What is the contracted lead time in days for the 'Sea-Dart 3' ocean freight service provided by Meridian Ocean Lines?,,y,
nump_92_abs,numeric_param,should_abstain,SilverSea Lines,"Under SilverSea Lines proprietary maritime policy, what is the maximum number of days for general average apportionment claims?",,y,
plaus_1_ans,plausible,answerable,Flexport,Where is the headquarters of Flexport located?,y,y,
param_27_ans,parametric,answerable,Bosch,What is the documented standard lead time for tier-one automotive components sourced from Bosch?,y,y,
param_367_abs,parametric,should_abstain,Sigma-Prime,"According to Sigma-Prime guidelines, what is the maximum allowable defect rate for incoming raw materials?",n,y,
