stratum,entity,probe,flag,commit,n_tok,n_words,tok_per_word,chars_per_tok,frac_wordlike,has_digit,n_chars,frag,conventional,S,probe_resid
S1,AeroDyne Structures,0.9999998807907104,0.0,1.0,4,2,2.0,4.75,0.75,0,19,1,0,S1,0.4238473852719382
S1,AeroLogix Systems,0.9999972581863404,0.0,1.0,4,2,2.0,4.25,0.75,0,17,1,0,S1,0.4424693854484675
S1,Apex Machinery,0.997076153755188,0.0,0.0,2,2,1.0,7.0,1.0,0,14,0,1,S1,0.3903356386566813
S1,Apex Velocity,0.9999977350234984,0.0,1.0,2,2,1.0,6.5,1.0,0,13,0,1,S1,0.4118818427058911
S1,ApexLift Machinery,0.9999980926513672,0.0,1.0,4,2,2.0,4.5,0.75,0,18,1,0,S1,0.4331579085230446
S1,Atlas Metallurgy Co.,0.9999997615814208,1.0,0.0,6,3,2.0,3.3333333333333335,0.6666666666666666,0,20,1,0,S1,0.44972178095913407
S1,Azure Bay,0.9877601265907288,1.0,0.0,2,2,1.0,4.5,1.0,0,9,0,1,S1,0.47414272539671853
S1,BulkNation,0.9914547204971312,0.0,1.0,2,1,2.0,5.0,1.0,0,10,1,0,S1,0.37862046882645717
S1,ChainStream,0.9983408451080322,0.0,1.0,2,1,2.0,5.5,1.0,0,11,1,0,S1,0.3668819706564589
S1,DataStream-X,0.99932599067688,1.0,0.0,3,1,3.0,4.0,0.6666666666666666,0,12,1,0,S1,0.3976505488391159
S1,Elemental Polymers Inc.,0.9999994039535522,1.0,0.0,6,3,2.0,3.8333333333333335,0.6666666666666666,0,23,1,0,S1,0.43109680055036625
S1,Euro-Trans Continental Pipeline,0.9941900968551636,1.0,0.0,5,3,1.6666666666666667,6.2,0.8,0,31,1,0,S1,0.33859246494390405
S1,Flexi-Crate,0.999975085258484,0.0,0.0,4,1,4.0,2.75,0.5,0,11,1,0,S1,0.3645060702332318
S1,Global Logistics Institute,0.8927825689315796,0.0,0.0,3,3,1.0,8.666666666666666,1.0,0,26,0,1,S1,0.16993238104192243
S1,Global Sourcing Act 2025,0.994541347026825,1.0,0.0,9,4,2.25,2.6666666666666665,0.3333333333333333,1,24,1,0,S1,0.5750560987155804
S1,Global Supply Ethics Standard (GSES-7),0.9997522234916688,1.0,0.0,10,5,2.0,3.8,0.5,1,38,1,0,S1,0.4634138284156978
S1,Global Trade Pact 7 (GTP-7),0.999894380569458,1.0,0.0,11,5,2.2,2.4545454545454546,0.2727272727272727,1,27,1,0,S1,0.5607464978994916
S1,Global Trade Protocol 9,0.9988396763801576,1.0,0.0,5,4,1.25,4.6,0.6,1,23,1,0,S1,0.5551355334759969
S1,Global Transit Partners,0.9999877214431764,0.0,0.0,3,3,1.0,7.666666666666667,1.0,0,23,0,1,S1,0.31438677911531776
S1,ISO 45000,7.13385597919114e-05,0.0,1.0,7,2,3.5,1.2857142857142858,0.14285714285714285,1,9,1,0,S1,-0.3661772687704005
S1,ISO 77000,0.0075531722977757,1.0,0.0,7,2,3.5,1.2857142857142858,0.14285714285714285,1,9,1,0,S1,-0.35869543503241674
S1,Kuro Automotive Group,0.9998680353164672,0.0,1.0,4,3,1.3333333333333333,5.25,0.75,0,21,1,0,S1,0.44080986986236537
S1,LeanChain 5.0,0.999990701675415,0.0,1.0,6,2,3.0,2.1666666666666665,0.3333333333333333,1,13,1,0,S1,0.6062204014417709
S1,Lumina Apparel Group,0.9999769926071168,0.0,0.0,4,3,1.3333333333333333,5.0,1.0,0,20,1,0,S1,0.36883409692719293
S1,Master Logistics Architect (MLA),0.997715711593628,0.0,0.0,7,4,1.75,4.571428571428571,0.42857142857142855,0,32,1,0,S1,0.4584679687169618
S1,MedSupply Unlimited,0.9999936819076538,1.0,0.0,3,2,1.5,6.333333333333333,1.0,0,19,1,0,S1,0.3507760849083873
S1,Meridian Bulk Carriers,0.999315619468689,0.0,1.0,5,3,1.6666666666666667,4.4,1.0,0,22,1,0,S1,0.3456489962756495
S1,Meridian Freight,0.9987297654151917,0.0,1.0,3,2,1.5,5.333333333333333,1.0,0,16,1,0,S1,0.3867614139777238
S1,NexGrid Robotics,0.999994158744812,0.0,1.0,3,2,1.5,5.333333333333333,1.0,0,16,1,0,S1,0.38802580730734415
S1,Nexus-7 Paradigm,0.9975804090499878,1.0,0.0,5,2,2.5,3.2,0.6,1,16,1,0,S1,0.545805622953754
S1,NexusFlow WMS,0.999836564064026,0.0,0.0,4,2,2.0,3.25,0.5,0,13,1,0,S1,0.5609549785042234
S1,NexusGraph,0.9988645315170288,0.0,1.0,2,1,2.0,5.0,1.0,0,10,1,0,S1,0.38603027984635474
S1,Omni-ID,0.8394495844841003,1.0,0.0,2,1,2.0,3.5,0.5,0,7,1,0,S1,0.4452832843886677
S1,OmniChain-9,0.9999932050704956,1.0,0.0,4,1,4.0,2.75,0.5,1,11,1,0,S1,0.44963725615252303
S1,OmniFab Industries,0.9999948740005492,1.0,0.0,3,2,1.5,6.0,1.0,0,18,1,0,S1,0.3631936921885489
S1,OmniTransit Systems,0.9999998807907104,1.0,0.0,4,2,2.0,4.75,0.75,0,19,1,0,S1,0.4238473852719382
S1,Pacifica Cargo Lines,0.9999805688858032,0.0,1.0,4,3,1.3333333333333333,5.0,0.75,0,20,1,0,S1,0.45023471482215116
S1,Port of Azur Bay,0.9960534572601318,1.0,0.0,5,4,1.25,3.2,0.4,0,16,1,0,S1,0.5845028253282267
S1,PrimeLog Properties,0.9999494552612304,0.0,1.0,3,2,1.5,6.333333333333333,1.0,0,19,1,0,S1,0.35073185826196385
